0.00,-20.98,12.00,0,0
0.00,-20.87,11.83,0,0
0.00,-20.87,11.78,0,0
0.00,-20.87,11.80,0,0
0.00,-20.87,11.56,0,0
0.00,-20.55,11.52,0,0
0.00,-20.55,11.68,0,0
0.00,-20.66,11.54,0,0
0.00,-20.66,11.33,0,0
0.00,-20.34,11.26,0,0
0.00,-20.34,11.38,0,0
0.00,-20.55,11.50,0,0
0.00,-20.55,11.34,0,0
0.00,-20.24,11.39,0,0
0.00,-20.24,11.32,0,0
0.00,-20.24,11.29,0,0
0.00,-20.24,11.29,0,0
0.00,-20.02,11.27,0,0
0.00,-20.02,11.26,0,0
0.00,-19.81,11.21,0,0
0.00,-19.81,11.06,0,0
0.00,-19.70,10.94,0,0
0.00,-19.70,10.95,0,0
0.00,-19.81,11.02,0,0
0.00,-19.81,10.78,0,0
0.00,-19.60,10.87,0,0
0.00,-19.60,11.07,0,0
0.00,-19.38,10.85,0,0
0.00,-19.38,10.84,0,0
0.00,-19.17,10.81,0,0
0.00,-19.17,10.77,0,0
0.00,-19.06,10.56,0,0
0.00,-19.06,10.78,0,0
0.00,-18.75,10.79,0,0
0.00,-18.75,10.66,0,0
0.00,-18.74,10.66,0,0
0.00,-18.74,10.59,0,0
0.00,-18.53,10.56,0,0
0.00,-18.53,10.44,0,0
0.00,-18.32,10.77,0,0
0.00,-18.32,10.71,0,0
0.00,-18.32,10.43,0,0
0.00,-18.32,10.32,0,0
0.00,-18.11,10.43,0,0
0.00,-18.11,10.34,0,0
0.00,-18.00,10.21,0,0
0.00,-18.00,10.12,0,0
0.00,-18.11,10.15,0,0
0.00,-18.11,10.09,0,0
0.00,-18.21,10.16,0,0
0.00,-18.21,10.10,0,0
0.00,-18.43,10.03,0,0
0.00,-18.43,10.11,0,0
0.00,-18.32,10.20,0,0
0.00,-18.32,10.20,0,0
0.00,-18.53,10.25,0,0
0.00,-18.53,10.29,0,0
0.00,-18.85,10.25,0,0
0.00,-18.85,10.31,0,0
0.00,-18.64,10.43,0,0
0.00,-18.64,10.47,0,0
0.00,-18.96,10.39,0,0
0.00,-18.96,10.63,0,0
0.00,-18.96,10.69,0,0
0.00,-18.96,10.67,0,0
0.00,-19.28,10.82,0,0
0.00,-19.28,11.03,0,0
0.00,-19.49,11.05,0,0
0.00,-19.49,11.17,0,0
0.00,-19.60,11.27,0,0
0.00,-19.70,11.37,0,0
0.00,-19.70,11.43,0,0
0.00,-19.70,11.42,0,0
0.00,-20.02,11.45,0,0
0.00,-19.92,11.51,0,0
0.00,-19.92,11.46,0,0
0.00,-20.13,11.62,0,0
0.00,-20.13,11.56,0,0
0.00,-20.13,11.57,0,0
0.00,-20.34,11.74,0,0
0.00,-20.45,11.61,0,0
0.00,-20.45,11.57,0,0
0.00,-20.66,11.77,0,0
0.00,-20.66,11.65,0,0
0.00,-20.77,11.57,0,0
0.00,-20.77,11.78,0,0
0.00,-20.98,11.82,0,0
0.00,-20.98,11.74,0,0
0.00,-20.98,11.90,0,0
0.00,-20.98,11.89,0,0
0.00,-20.98,12.28,0,0
0.00,-20.98,12.01,0,0
0.00,-21.19,12.02,0,0
0.00,-21.19,11.95,0,0
0.00,-21.30,12.23,0,0
0.00,-21.30,12.23,0,0
0.00,-21.40,12.32,0,0
0.00,-21.40,12.30,0,0
0.00,-21.41,12.53,0,0
0.00,-21.41,12.46,0,0
0.00,-21.51,12.41,0,0
0.00,-21.51,12.52,0,0
0.00,-21.51,12.44,0,0
0.00,-21.51,12.44,0,0
0.00,-21.72,12.51,0,0
0.00,-21.72,12.33,0,0
0.00,-21.83,12.38,0,0
0.00,-21.83,12.19,0,0
0.00,-21.73,12.23,0,0
0.00,-21.73,12.32,0,0
0.00,-21.83,12.38,0,0
0.00,-21.83,12.26,0,0
0.00,-21.94,12.11,0,0
0.00,-21.94,12.20,0,0
0.00,-21.94,12.34,0,0
0.00,-21.94,12.16,0,0
0.00,-22.05,12.05,0,0
0.00,-22.05,12.14,0,0
0.00,-21.94,12.08,0,0
0.00,-21.94,12.19,0,0
0.00,-21.83,12.17,0,0
0.00,-21.83,12.14,0,0
0.00,-22.05,12.21,0,0
0.00,-22.05,12.29,0,0
0.00,-21.62,12.25,0,0
0.00,-21.62,12.27,0,0
0.00,-21.94,12.26,0,0
0.00,-21.94,12.40,0,0
0.00,-21.62,12.43,0,0
0.00,-21.62,12.68,0,0
0.00,-21.62,12.42,0,0
0.00,-21.62,12.45,0,0
0.00,-21.41,12.31,0,0
0.00,-21.41,12.34,0,0
0.00,-21.30,12.36,0,0
0.00,-21.30,12.26,0,0
0.00,-21.09,12.17,0,0
0.00,-21.09,12.21,0,0
0.00,-20.87,12.12,0,0
